ID,名称,类型,装备特效号,价格（/100）,图标,初始能力,装备特效号-效果值,升级能力成长,宝物图鉴
104,空104,25,102,255,104,10,16,10,0
105,空105,25,102,255,105,10,16,10,0
106,空106,25,102,255,106,10,16,10,0
107,空107,25,102,255,107,0,16,0,0
108,空108END,25,102,255,108,0,16,0,0
109,皮盾,61,2,10,109,10,0,255,0
110,铜盾,61,2,20,110,15,10,255,0
111,白银盾,62,2,255,111,50,10,255,0
112,风神盾,63,2,255,112,15,1,255,0
113,护心镜,37,2,30,113,30,10,255,0
114,铁制马凯,69,2,255,114,60,87,255,0
115,风车轮,40,2,255,115,2,0,255,0
116,爪黄飞电,40,2,255,116,2,0,255,0
117,绝影,40,2,255,117,1,10,255,0
118,赤兔马,41,2,255,118,200,5,255,0
119,的卢,42,2,255,119,12,0,255,0
120,皮盔,37,2,10,120,50,0,255,0
121,铜盔,37,2,20,121,100,4,255,0
122,铁盔,37,2,255,122,200,10,255,0
123,方巾,38,2,10,123,30,0,255,0
124,纶巾,38,2,20,124,60,50,255,0
125,诸葛巾,38,2,255,125,100,50,255,0
126,布手套,47,2,10,126,10,5,255,0
127,皮手套,47,2,20,127,15,0,255,0
128,没羽箭,50,2,255,128,12,1,255,0
129,孙子兵法,30,2,255,129,10,0,255,0
130,孟德新书,39,2,255,130,50,0,255,0
131,青囊书,26,2,255,131,20,0,255,0
132,太平清领道,28,2,255,132,3,0,255,0
133,太平要术,27,2,255,133,10,10,255,0
134,遁甲天书,59,2,255,134,0,0,255,0
135,六韬,32,2,255,135,50,0,255,0
136,三略,33,2,255,136,50,50,255,0
137,粮车,70,2,255,137,150,50,255,0
138,铁鞭,80,2,255,138,180,5,6,0
139,青缸剑,79,2,255,139,50,0,20,0
140,手戟,51,2,255,140,1,1,5,0
141,春秋左传,110,2,255,141,50,0,255,0
142,狼牙箭,51,2,255,142,1,0,8,0
143,锁链,118,2,255,143,1,0,255,0
144,玉玺,97,2,255,144,1,0,0,1
145,青龙宝玉,58,2,255,145,64,0,19,1
146,朱雀宝玉,58,2,255,146,65,0,10,1
147,白虎宝玉,58,2,255,147,66,0,11,1
148,玄武宝玉,58,2,255,148,67,0,12,1
149,铜雀,58,2,255,149,155,0,255,1
150,豆,26,3,1,150,60,0,0,0
151,麦,26,3,3,151,120,0,0,0
152,米,26,3,10,152,240,0,0,0
153,山泉水,27,3,5,153,40,0,0,0
154,杜康酒,27,3,20,154,80,0,0,0
155,解毒散,29,3,3,155,0,0,0,0
156,正气丸,28,3,3,156,0,0,0,0
157,活血草,30,3,3,157,0,0,0,0
158,醒脑丸,31,3,3,158,0,0,0,0
159,碧灵丹,32,3,20,159,255,0,0,0
160,兵符,39,3,50,160,0,0,0,0
161,A1道具,26,3,255,161,1,0,0,0
162,A2道具,26,3,255,162,1,0,0,0
163,A3道具,26,3,255,163,1,0,0,0
164,A4道具,26,3,255,164,1,0,0,0
165,A5道具,26,3,255,165,1,0,0,0
166,A6道具,26,3,255,166,1,0,0,0
167,A7道具,26,3,255,167,1,0,0,0
168,A8道具,26,3,255,168,1,0,0,0
169,A9道具,26,3,255,169,1,0,0,0
170,AA道具,26,3,255,170,1,0,0,0
171,AB道具,26,3,255,171,1,0,0,0
172,AC道具,26,3,255,172,1,0,0,0
173,AD道具,26,3,255,173,1,0,0,0
174,AE道具,26,3,255,174,1,0,0,0
175,AF道具,26,3,255,175,1,0,0,0
176,B0道具,26,3,255,176,1,0,0,0
177,B1道具,50,3,255,177,1,0,0,0
178,B2道具,26,3,255,178,1,0,0,0
179,装备突破书,61,3,255,179,1,0,0,0
180,武器专精书,60,3,255,180,1,0,0,0
181,防具专精书,60,3,255,181,1,0,0,0
182,武器强化书,60,3,255,182,1,0,0,0
183,防具强化书,60,3,255,183,1,0,0,0
184,攻击强化书,60,3,255,184,1,0,0,0
185,防御强化书,60,3,255,185,1,0,0,0
186,精神强化书,60,3,255,186,1,0,0,0
187,反应强化书,60,3,255,187,1,0,0,0
188,士气强化书,60,3,255,188,1,0,0,0
189,HP强化书,60,3,255,189,5,0,0,0
190,MP强化书,60,3,255,190,1,0,0,0
191,机动强化书,60,3,255,191,1,0,0,0
192,精强果,60,3,255,192,1,0,0,0
193,勇壮果,60,3,255,193,1,0,0,0
194,神机果,60,3,255,194,1,0,0,0
195,奋迅果,60,3,255,195,1,0,0,0
196,燃魂果,60,3,255,196,1,0,0,0
197,经验果,60,3,255,197,1,0,0,0
198,功勋果,60,3,255,198,1,0,0,0
199,星级证,60,3,255,199,1,0,0,0
200,手榴弹,65,3,3,129,60,0,0,0
201,手雷,65,3,3,130,100,0,0,0
202,爆破筒,65,3,3,131,100,0,7,0
203,炸药包,65,3,3,132,120,0,1,0
204,核弹,65,3,3,133,232,3,2,0
205,探雷器,66,3,3,136,0,0,6,0
206,神工铲,62,3,3,134,0,0,0,0
207,天机盒,63,3,3,135,0,0,0,0
208,土雷(普),64,3,3,136,60,0,0,0
209,石雷(普),64,3,3,136,100,0,1,0
210,铁雷(普),64,3,3,136,140,0,2,0
211,风火雷(普),64,3,3,136,200,0,0,0
212,彻地雷(普),64,3,3,136,180,0,3,0
213,轰天雷(普),64,3,3,136,44,1,6,0
214,土雷(引),64,3,3,136,60,0,0,0
215,石雷(引),64,3,3,136,100,0,1,0
216,铁雷(引),64,3,3,136,140,0,2,0
217,风火雷(引),64,3,3,136,250,0,0,0
218,彻地雷(引),64,3,3,136,180,0,3,0
219,轰天雷(引),64,3,3,136,44,1,6,0
220,土雷(控),64,3,3,136,60,0,0,0
221,石雷(控),64,3,3,136,100,0,1,0
222,铁雷(控),64,3,3,136,140,0,2,0
223,风火雷(控),64,3,3,136,250,0,0,0
224,彻地雷(控),64,3,3,136,180,0,3,0
225,轰天雷(控),64,3,5,103,150,0,6,0
226,E2热兵器,67,3,2,0,0,0,0,0
227,E3热兵器,68,3,1,0,0,0,0,0
228,E4热兵器,69,3,2,0,0,0,0,0
229,E5热兵器,70,3,1,0,0,0,0,0
230,E6热兵器,71,3,2,0,0,0,0,0
231,E7热兵器,72,3,1,0,0,0,0,0
232,E8热兵器,73,3,2,0,0,0,0,0
233,E9热兵器,74,3,1,0,0,0,0,0
234,EA热兵器,75,3,2,0,0,0,0,0
235,EB热兵器,76,3,1,0,0,0,0,0
236,EC热兵器,77,3,2,0,0,0,0,0
237,ED热兵器,78,3,1,0,0,0,0,0
238,EE热兵器,79,3,2,0,0,0,0,0
239,EF热兵器,80,3,1,0,0,0,0,0
240,F0热兵器,81,3,2,0,0,0,0,0
241,F1热兵器,82,3,1,0,0,0,0,0
242,F2热兵器,83,3,2,0,0,0,0,0
243,F3热兵器,40,3,1,0,0,0,0,0
244,F4热兵器,40,3,2,0,0,0,0,0
245,F5热兵器,40,3,1,0,0,0,0,0
246,F6热兵器,40,3,2,0,0,0,0,0
247,F7热兵器,40,3,1,0,0,0,0,0
248,F8热兵器,40,3,2,0,0,0,0,0
249,F9热兵器,62,3,1,0,0,0,0,0
250,FA热兵器,62,3,2,0,0,0,0,0
251,FB热兵器,62,3,1,0,0,0,0,0
252,FC热兵器,62,3,2,0,0,0,0,0
253,FD热兵器,62,3,1,0,0,0,0,0
254,FE热兵器,40,3,129,3,60,0,0,0
